Date,Open,High,Low,Close,Adj Close,Volume
8/24/2021,2460,2470,2370,2370,2370,2177500
8/25/2021,2390,2420,2370,2400,2400,1219700
8/26/2021,2430,2460,2380,2380,2380,1675700
8/27/2021,2380,2400,2350,2360,2360,892600
8/30/2021,2360,2450,2360,2450,2450,1985900
8/31/2021,2510,2550,2390,2410,2410,4960100
9/1/2021,2410,2410,2370,2370,2370,1082400
9/2/2021,2370,2400,2360,2360,2360,640200
9/3/2021,2360,2390,2360,2370,2370,767100
9/6/2021,2370,2420,2370,2390,2390,1405900
9/7/2021,2390,2430,2390,2410,2410,1211600
9/8/2021,2420,2430,2360,2370,2370,1464400
9/9/2021,2380,2380,2300,2330,2330,1625600
9/10/2021,2330,2350,2310,2340,2340,358200
9/13/2021,2340,2370,2340,2350,2350,780500
9/14/2021,2360,2370,2340,2340,2340,602400
9/15/2021,2340,2350,2320,2330,2330,797500
9/16/2021,2330,2360,2330,2340,2340,620400
9/17/2021,2340,2350,2320,2320,2320,720900
9/20/2021,2350,2410,2300,2400,2400,2336500
9/21/2021,2400,2410,2350,2400,2400,2062400
9/22/2021,2400,2410,2360,2360,2360,1014900
9/23/2021,2360,2380,2320,2340,2340,936400
9/24/2021,2330,2350,2330,2340,2340,798000
9/27/2021,2340,2360,2340,2350,2350,628700
9/28/2021,2350,2370,2340,2350,2350,1426000
9/29/2021,2340,2460,2310,2420,2420,5140300
9/30/2021,2460,2540,2380,2400,2400,8460600
10/1/2021,2400,2430,2360,2360,2360,1693400
10/4/2021,2370,2420,2360,2400,2400,2945500
10/5/2021,2410,2480,2370,2430,2430,4495200
10/6/2021,2430,2500,2420,2470,2470,6072600
10/7/2021,2480,2660,2470,2640,2640,17293600
10/8/2021,2680,2730,2540,2570,2570,13212900
10/11/2021,2570,2600,2540,2560,2560,2813700
10/12/2021,2560,2590,2550,2590,2590,2882300
10/13/2021,2600,2690,2600,2680,2680,7648200
10/14/2021,2680,2710,2580,2640,2640,6257500
10/15/2021,2630,2710,2610,2610,2610,7307300
10/18/2021,2610,2630,2570,2570,2570,4145300
10/19/2021,2570,2600,2420,2440,2440,8333700
10/21/2021,2500,2500,2410,2420,2420,2765600
10/22/2021,2430,2430,2380,2410,2410,1321500
10/25/2021,2410,2500,2410,2440,2440,1300700
10/26/2021,2450,2560,2450,2470,2470,6848500
10/27/2021,2480,2520,2460,2460,2460,2178400
10/28/2021,2460,2480,2410,2420,2420,1669800
10/29/2021,2420,2460,2410,2430,2430,952500
